DEPTH	GR	FACES	FACES2
4185	84.9	Ps12	
4185.0762	83.276	Ps12	
4185.1524	82.048	Ps12	
4185.2286	81.353	Ps12	
4185.3048	81.14	Ps12	
4185.381	81.349	Ps12	
4185.4572	82.01	Ps12	
4185.5334	83.281	Ps12	
4185.6096	85.389	Ps12	
4185.6858	88.472	Ps12	
4185.762	92.354	Ps12	
4185.8382	96.488	Ps12	
4185.9144	100.139	Ps12	
4185.9906	102.726	Ps12	
4186.0668	104.014	Ps12	
4186.143	104.171	Ps12	
4186.2192	103.556	Ps12	
4186.2954	102.478	Ps12	
4186.3716	101.15	Ps12	
4186.4478	99.727	Ps12	
4186.524	98.38	Ps12	
4186.6002	97.363	Ps12	
4186.6764	96.89	Ps12	
4186.7526	96.965	Ps12	
4186.8288	97.275	Ps12	
4186.905	97.346	Ps12	
4186.9812	96.75	Ps12	
4187.0574	95.47	Ps12	
4187.1336	94.027	Ps12	
4187.2098	93.116	Ps12	
4187.286	93.071	Ps12	
4187.3622	93.76	Ps12	
4187.4384	94.659	Ps12	
4187.5146	95.213	Ps12	
4187.5908	95.232	Ps12	
4187.667	94.973	Ps12	
4187.7432	94.861	Ps12	
4187.8194	95.188	Ps12	
4187.8956	95.887	Ps12	
4187.9718	96.678	Ps12	
4188.048	97.311	Ps12	
4188.1242	97.733	Ps12	
4188.2004	97.979	Ps12	
4188.2766	98.059	Ps12	
4188.3528	98.033	Ps12	
4188.429	98.01	Ps12	
4188.5052	98.137	Ps12	
4188.5814	98.632	Ps12	
4188.6576	99.581	Ps12	
4188.7338	100.764	Ps12	
4188.81	101.609	Ps12	
4188.8862	101.472	Ps12	
4188.9624	99.931	Ps12	
4189.0386	97.051	Ps12	
4189.1148	93.342	Ps12	
4189.191	89.486	Ps12	
4189.2672	86.039	Ps12	
4189.3434	83.263	Ps12	
4189.4196	80.959	Ps12	
4189.4958	78.679	Ps12	
4189.572	76.083	Ps12	
4189.6482	73.17	Ps12	
4189.7244	70.209	Ps12	
4189.8006	67.606	Ps12	
4189.8768	65.583	Ps12	
4189.953	63.986	Ps12	
4190.0292	62.486	Ps12	
4190.1054	60.839	Ps12	
4190.1816	59.123	Ps12	
4190.2578	57.876	Ps12	
4190.334	57.873	Ps12	
4190.4102	59.742	Ps12	
4190.4864	63.667	Ps12	
4190.5626	69.202	Ps12	
4190.6388	75.464	Ps12	
4190.715	81.601	Ps12	
4190.7912	87.157	Ps12	
4190.8674	92.062	Ps12	
4190.9436	96.489	Ps12	
4191.0198	100.58	Ps12	
