WELL	DEPTH	GR	SP	RD	RM	RXO	LAYER	FACES
TZ122	4199.0012	94.525	-51.718	5.651	5.401	5.799	Ps12	³±Ï«Í¨µÀ
TZ122	4199.0774	93.592	-52.039	6.053	5.736	6.176	Ps12	³±Ï«Í¨µÀ
TZ122	4199.1536	93.364	-52.389	6.311	5.942	6.402	Ps12	³±Ï«Í¨µÀ
TZ122	4199.2298	93.597	-52.769	6.384	5.987	6.44	Ps12	³±Ï«Í¨µÀ
TZ122	4199.306	93.806	-53.2	6.319	5.918	6.345	Ps12	³±Ï«Í¨µÀ
TZ122	4199.3822	93.559	-53.723	6.207	5.814	6.212	Ps12	³±Ï«Í¨µÀ
TZ122	4199.4584	92.627	-54.326	6.121	5.739	6.114	Ps12	³±Ï«Í¨µÀ
TZ122	4199.5346	90.947	-54.957	6.094	5.723	6.086	Ps12	³±Ï«Í¨µÀ
TZ122	4199.6108	88.669	-55.534	6.13	5.768	6.128	Ps12	³±Ï«Í¨µÀ
TZ122	4199.687	86.114	-55.971	6.222	5.869	6.232	Ps12	³±Ï«Í¨µÀ
TZ122	4199.7632	83.66	-56.211	6.359	6.017	6.389	Ps12	³±Ï«Í¨µÀ
TZ122	4199.8394	81.522	-56.265	6.532	6.204	6.587	Ps12	³±Ï«Í¨µÀ
TZ122	4199.9156	79.653	-56.2	6.723	6.412	6.803	Ps12	³±Ï«Í¨µÀ
TZ122	4199.9918	78.058	-56.079	6.901	6.614	7.007	Ps12	³±Ï«Í¨µÀ
TZ122	4200.068	77.016	-55.958	7.034	6.778	7.161	Ps12	³±Ï«Í¨µÀ
TZ122	4200.1442	76.648	-55.878	7.103	6.884	7.243	Ps12	³±Ï«Í¨µÀ
TZ122	4200.2204	76.821	-55.854	7.121	6.939	7.262	Ps12	³±Ï«Í¨µÀ
TZ122	4200.2966	77.286	-55.873	7.131	6.981	7.261	Ps12	³±Ï«Í¨µÀ
TZ122	4200.3728	77.698	-55.878	7.182	7.059	7.291	Ps12	³±Ï«Í¨µÀ
TZ122	4200.449	77.685	-55.774	7.314	7.21	7.391	Ps12	³±Ï«Í¨µÀ
TZ122	4200.5252	77.124	-55.525	7.549	7.456	7.579	Ps12	³±Ï«Í¨µÀ
TZ122	4200.6014	76.114	-55.177	7.897	7.808	7.858	Ps12	³±Ï«Í¨µÀ
TZ122	4200.6776	74.853	-54.785	8.349	8.259	8.237	Ps12	³±Ï«Í¨µÀ
TZ122	4200.7538	73.602	-54.39	8.866	8.758	8.645	Ps12	³±Ï«Í¨µÀ
