DEPTH	GR	FACES	FACES2
4198.4404	101.146	Ps12	
4198.5166	101.241	Ps12	
4198.5928	100	Ps12	
4198.669	97.614	Ps12	
4198.7452	94.464	Ps12	
4198.8214	90.884	Ps12	
4198.8976	86.998	Ps12	
4198.9738	82.674	Ps12	
4199.05	77.812	Ps12	
4199.1262	72.793	Ps12	
4199.2024	68.268	Ps12	
4199.2786	65.039	Ps12	
4199.3548	64.013	Ps12	
4199.431	65.779	Ps12	
4199.5072	70.44	Ps12	
4199.5834	77.381	Ps12	
4199.6596	85.199	Ps12	
4199.7358	92.109	Ps11	
4199.812	96.62	Ps11	
4199.8882	98.073	Ps11	
4199.9644	96.876	Ps11	
4200.0406	94.288	Ps11	
4200.1168	91.704	Ps11	
4200.193	89.959	Ps11	
4200.2692	89.195	Ps11	
4200.3454	88.99	Ps11	
4200.4216	88.697	Ps11	
4200.4978	87.926	Ps11	
4200.574	86.709	Ps11	
4200.6502	85.329	Ps11	
4200.7264	84.04	Ps11	
4200.8026	82.958	Ps11	
4200.8788	81.891	Ps11	
4200.955	80.599	Ps11	
4201.0312	78.986	Ps11	
4201.1074	77.155	Ps11	
4201.1836	75.398	Ps11	
4201.2598	74.057	Ps11	
4201.336	73.307	Ps11	
4201.4122	73.109	Ps11	
4201.4884	73.205	Ps11	
4201.5646	73.517	Ps11	
4201.6408	74.314	Ps11	
4201.717	76.194	Ps11	
4201.7932	79.589	Ps11	
4201.8694	84.454	Ps11	
4201.9456	90.094	Ps11	
4202.0218	95.357	Ps11	
4202.098	98.957	Ps11	
4202.1742	100.038	Ps11	
4202.2504	98.212	Ps11	
4202.3266	93.781	Ps11	
4202.4028	87.679	Ps11	
4202.479	81.076	Ps11	
4202.5552	74.956	Ps11	
4202.6314	70.054	Ps11	
4202.7076	66.584	Ps11	
4202.7838	64.274	Ps11	
4202.86	62.809	Ps11	
4202.9362	62.199	Ps11	
4203.0124	62.917	Ps11	
4203.0886	65.731	Ps11	
4203.1648	71.03	Ps11	
4203.241	78.441	Ps11	
4203.3172	86.96	Ps11	
4203.3934	95.183	Ps11	
4203.4696	101.675	Ps11	
4203.5458	105.383	Ps11	
4203.622	105.985	Ps11	
4203.6982	103.909	Ps11	
4203.7744	100.196	Ps11	
4203.8506	96.025	Ps11	
4203.9268	92.495	Ps11	
4204.003	90.517	Ps11	
4204.0792	90.344	Ps11	
4204.1554	91.336	Ps11	
4204.2316	92.446	Ps11	
4204.3078	92.595	Ps11	
4204.384	91.165	Ps11	
4204.4602	88.253	Ps11	
4204.5364	84.438	Ps11	
4204.6126	80.43	Ps11	
4204.6888	76.943	Ps11	
4204.765	74.456	Ps11	
4204.8412	72.998	Ps11	
4204.9174	72.459	Ps11	
4204.9936	72.809	Ps11	
4205.0698	73.903	Ps11	
4205.146	75.315	Ps11	
4205.2222	76.414	Ps11	
4205.2984	76.626	Ps11	
4205.3746	75.787	Ps11	
4205.4508	74.261	Ps11	
4205.527	72.698	Ps11	
4205.6032	71.75	Ps11	
4205.6794	72.003	Ps11	
4205.7556	73.804	Ps11	
4205.8318	77.192	Ps11	
4205.908	82.077	Ps11	
4205.9842	88.147	Ps11	
4206.0604	94.671	Ps11	
4206.1366	100.348	Ps11	
4206.2128	103.754	Ps11	
4206.289	103.932	Ps11	
4206.3652	100.905	Ps11	
4206.4414	95.887	Ps11	
4206.5176	90.808	Ps11	
4206.5938	87.61	Ps11	
4206.67	87.443	Ps11	
4206.7462	90.202	Ps11	
4206.8224	94.986	Ps11	
4206.8986	100.549	Ps11	
4206.9748	105.804	Ps11	
4207.051	110.003	Ps11	
4207.1272	112.779	Ps11	
4207.2034	114.145	Ps11	
4207.2796	114.181	Ps11	
4207.3558	112.885	Ps11	
4207.432	110.054	Ps11	
4207.5082	105.443	Ps11	
4207.5844	99.134	Ps11	
4207.6606	91.538	Ps11	
4207.7368	83.456	Ps11	
4207.813	75.97	Ps11	
4207.8892	70.025	Ps11	
4207.9654	65.988	Ps11	
4208.0416	63.574	Ps11	
4208.1178	62.204	Ps11	
4208.194	61.407	Ps11	
4208.2702	60.995	Ps11	
4208.3464	61.161	Ps11	
4208.4226	62.114	Ps11	
4208.4988	63.836	Ps11	
4208.575	65.928	Ps11	
4208.6512	67.693	Ps11	
4208.7274	68.457	Ps11	
4208.8036	67.935	Ps11	
4208.8798	66.394	Ps11	
4208.956	64.558	Ps11	
4209.0322	63.121	Ps11	
4209.1084	62.342	Ps11	
4209.1846	61.909	Ps11	
4209.2608	61.19	Ps11	
4209.337	59.882	Ps11	
4209.4132	58.145	Ps11	
4209.4894	56.46	Ps11	
4209.5656	55.326	Ps11	
4209.6418	55.129	Ps11	
4209.718	56.186	Ps11	
4209.7942	58.89	Ps11	
4209.8704	63.762	Ps11	
4209.9466	71.227	Ps11	
4210.0228	81.141	Ps11	
4210.099	92.662	Ps11	
4210.1752	104.274	Ps11	
4210.2514	114.411	Ps11	
4210.3276	122.028	Ps11	
4210.4038	126.598	Ps11	
4210.48	128.09	Ps11	
4210.5562	126.953	Ps11	
4210.6324	124.003	Ps11	
4210.7086	120.343	Ps11	
4210.7848	117.032	Ps11	
4210.861	114.702	Ps11	
4210.9372	113.516	Ps11	
4211.0134	113.263	Ps11	
4211.0896	113.447	Ps11	
4211.1658	113.691	Ps11	
4211.242	113.948	Ps11	
4211.3182	114.322	Ps11	
4211.3944	114.816	Ps11	
4211.4706	115.183	Ps11	
4211.5468	115.033	Ps11	
4211.623	114.051	Ps11	
4211.6992	111.98	Ps11	
4211.7754	108.63	Ps11	
4211.8516	104.143	Ps11	
4211.9278	99.153	Ps11	
4212.004	94.466	Ps11	
4212.0802	90.765	Ps11	
4212.1564	88.384	Ps11	
4212.2326	87.062	Ps11	
4212.3088	86.147	Ps11	
4212.385	84.937	Ps11	
4212.4612	82.979	Ps11	
4212.5374	80.466	Ps11	
4212.6136	78.249	Ps11	
4212.6898	77.294	Ps11	
4212.766	78.148	Ps11	
4212.8422	80.911	Ps11	
4212.9184	85.246	Ps11	
4212.9946	90.514	Ps11	
4213.0708	96.123	Ps11	
4213.147	101.722	Ps11	
4213.2232	107.081	Ps11	
4213.2994	111.842	Ps11	
4213.3756	115.461	Ps11	
4213.4518	117.31	Ps11	
4213.528	117.06	Ps11	
4213.6042	114.805	Ps11	
4213.6804	110.884	Ps11	
4213.7566	105.857	Ps11	
4213.8328	100.379	Ps11	
4213.909	95.067	Ps11	
4213.9852	90.607	Ps11	
4214.0614	87.777	Ps11	
4214.1376	87.271	Ps11	
4214.2138	89.138	Ps11	
4214.29	92.595	Ps11	
4214.3662	96.412	Ps11	
4214.4424	99.385	Ps11	
4214.5186	100.796	Ps11	
4214.5948	100.507	Ps11	
4214.671	98.826	Ps11	
4214.7472	96.254	Ps11	
4214.8234	93.172	Ps11	
4214.8996	89.937	Ps11	
4214.9758	86.986	Ps11	
4215.052	84.804	Ps11	
4215.1282	83.687	Ps11	
4215.2044	83.444	Ps11	
4215.2806	83.66	Ps11	
4215.3568	84.217	Ps11	
4215.433	85.351	Ps11	
4215.5092	87.527	Ps11	
4215.5854	90.961	Ps11	
4215.6616	95.288	Ps11	
4215.7378	99.835	Ps11	
4215.814	103.993	Ps11	
4215.8902	107.39	Ps11	
4215.9664	109.818	Ps11	
4216.0426	111.175	Ps11	
4216.1188	111.274	Ps11	
4216.195	109.84	Ps11	
4216.2712	106.935	Ps11	
4216.3474	103.21	Ps11	
4216.4236	99.693	Ps11	
4216.4998	97.132	Ps11	
4216.576	95.512	Ps11	
4216.6522	94.203	Ps11	
4216.7284	92.526	Ps11	
4216.8046	90.195	Ps11	
4216.8808	87.413	Ps11	
4216.957	84.738	Ps11	
4217.0332	82.746	Ps11	
4217.1094	81.65	Ps11	
4217.1856	81.29	Ps11	
4217.2618	81.413	Ps11	
4217.338	81.991	Ps11	
4217.4142	83.128	Ps11	
4217.4904	84.939	Ps11	
4217.5666	87.466	Ps11	
4217.6428	90.829	Ps11	
4217.719	95.314	Ps11	
4217.7952	101.058	Ps11	
4217.8714	107.895	Ps11	
4217.9476	115.147	Ps11	
4218.0238	121.77	Ps11	
4218.1	126.996	Ps11	
4218.1762	130.477	Ps11	
4218.2524	132.409	Ps11	
4218.3286	133.259	Ps11	
4218.4048	133.247	Ps10	
4218.481	132.149	Ps10	
4218.5572	129.546	Ps10	
4218.6334	125.345	Ps10	
4218.7096	119.892	Ps10	
4218.7858	113.992	Ps10	
4218.862	108.842	Ps10	
4218.9382	105.389	Ps10	
4219.0144	104.211	Ps10	
4219.0906	105.573	Ps10	
4219.1668	109.043	Ps10	
4219.243	113.645	Ps10	
4219.3192	118.081	Ps10	
4219.3954	121.089	Ps10	
4219.4716	121.813	Ps10	
4219.5478	119.984	Ps10	
4219.624	115.729	Ps10	
4219.7002	109.374	Ps10	
4219.7764	101.498	Ps10	
4219.8526	92.961	Ps10	
4219.9288	84.487	Ps10	
4220.005	76.647	Ps10	
4220.0812	69.862	Ps10	
4220.1574	64.358	Ps10	
4220.2336	60.302	Ps10	
4220.3098	57.872	Ps10	
4220.386	57.266	Ps10	
4220.4622	58.564	Ps10	
4220.5384	61.585	Ps10	
4220.6146	65.895	Ps10	
4220.6908	70.825	Ps10	
4220.767	75.548	Ps10	
4220.8432	79.224	Ps10	
4220.9194	81.131	Ps10	
4220.9956	81.063	Ps10	
4221.0718	79.616	Ps10	
4221.148	78.127	Ps10	
4221.2242	78.311	Ps10	
4221.3004	81.559	Ps10	
4221.3766	88.105	Ps10	
4221.4528	96.691	Ps10	
4221.529	105.017	Ps10	
4221.6052	110.688	Ps10	
4221.6814	112.311	Ps10	
4221.7576	110.042	Ps10	
4221.8338	105.267	Ps10	
4221.91	99.707	Ps10	
4221.9862	94.703	Ps10	
4222.0624	90.915	Ps10	
4222.1386	88.36	Ps10	
4222.2148	86.765	Ps10	
4222.291	86.001	Ps10	
4222.3672	85.988	Ps10	
4222.4434	86.537	Ps10	
4222.5196	87.196	Ps10	
4222.5958	87.345	Ps10	
4222.672	86.564	Ps10	
4222.7482	84.776	Ps10	
4222.8244	82.293	Ps10	
4222.9006	79.794	Ps10	
4222.9768	78.245	Ps10	
4223.053	78.663	Ps10	
4223.1292	81.56	Ps10	
4223.2054	86.814	Ps10	
4223.2816	93.816	Ps10	
4223.3578	101.776	Ps10	
4223.434	110.028	Ps10	
4223.5102	117.973	Ps10	
4223.5864	124.882	Ps10	
4223.6626	129.767	Ps10	
4223.7388	131.567	Ps10	
4223.815	129.63	Ps10	
4223.8912	124.287	Ps10	
4223.9674	116.949	Ps10	
4224.0436	109.39	Ps10	
4224.1198	102.884	Ps10	
4224.196	98.02	Ps10	
4224.2722	94.798	Ps10	
4224.3484	93.095	Ps10	
4224.4246	92.854	Ps10	
4224.5008	94.104	Ps10	
4224.577	96.821	Ps10	
4224.6532	100.835	Ps10	
4224.7294	105.786	Ps10	
4224.8056	111.29	Ps10	
4224.8818	117.071	Ps10	
4224.958	122.833	Ps10	
